00,CombatZoneResize,241,226,406,391,TLResume,
0,HeartTeleport,320,304,,,,
0,HeartMode,0,,,,,
0,TLPause,,,,,,
0,,,,,,,,,
0,BlackScreen,1,,,,,
0,Sound,Hakai,,,,,,,,,,
0,sansx,999,,,,,
0.2,BlackScreen,0,,,,,
0,boneh,0,0,640,0,0,0
0,boneh,0,470,640,0,0,0
0,bonev,0,0,480,0,0,0
0,bonev,600,0,400,0,0,0
0,SET,Loop,40,,,,
0,SUB,Loop,$Loop,1,,,
0,GetHeartPos,HeartX,HeartY,,,,
0,ADD,a,$HeartX,82.5,,,
0,SUB,b,$HeartX,82.5,,,
0,ADD,c,$HeartY,82.5,,,
0,SUB,d,$HeartY,82.5,,,
0,CombatZoneResize,$b,$d,$a,$c,,
0,CombatZoneSpeed,150,,,,,
0.5,GetHeartPos,HX,HY,
0,GasterBlaster,1,$HX,-30,$HX,100,90,0.266666
0,rnd,sb,640,,,,
0,bonev,$sb,-100,55,1,100,
0,rnd,cnm,640,,,,
0,bonev,$cnm,490,55,3,100,
0,rnd,nmsl,480,,,,
0,boneh,200,$nmsl,55,0,100,
0,rnd,wdnmb,480,,,,
0,boneh,750,$wdnmb,55,2,100,
0.12,JMPNZ,15,$Loop,,,,
0,EndAttack,,,,,,
